Chemical_name	CAS_number	InChIKey	Screening_method	Class_1	Class_2	Class_3	MoA_broad	MoA_specific	Molecular_target	Matrix	Sites	MDL	Quant	units
Ethylene glycol diphenylether	104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Water	Q_O	0.5	9.614	ng/L
Ethylene glycol diphenylether	104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Water	Q_R	0.5	6.069	ng/L
Ethylene glycol diphenylether	104-66-5	XCSGHNKDXGYELG-UHFFFAOYSA-N	GC-HRMS	additive	paper/printing chemical	sensitizer	unknown	n/a	n/a	Water	Q_T	0.5	7.954	ng/L
N-isopropyl-N-phenyl-p-phenylenediamine	101-72-4	OUBMGJOQLXMSNT-UHFFFAOYSA-N	LC-HRMS	polymer additive	rubber additive	antioxidant	unknown	n/a	n/a	Water	Q_O	0.5	218.3171	ng/L
2-Acetonaphthone	93-08-3	XSAYZAUNJMRRIR-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	aromatic compound	unknown	n/a	n/a	Water	Q_M	0.5	1.987	ng/L
2-Acetonaphthone	93-08-3	XSAYZAUNJMRRIR-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	aromatic compound	unknown	n/a	n/a	Water	Q_O	0.5	1.655	ng/L
2-Acetonaphthone	93-08-3	XSAYZAUNJMRRIR-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	aromatic compound	unknown	n/a	n/a	Water	Q_R	0.5	1.26	ng/L
2-Acetonaphthone	93-08-3	XSAYZAUNJMRRIR-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	aromatic compound	unknown	n/a	n/a	Water	Q_T	0.5	1.87	ng/L
Metalaxyl	57837-19-1	ZQEIXNIJLIKNTD-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	acylalanine	Nucleic acid biosynthesis inhibition	RNA polymerase I inhibition	RNA polymerase I	Water	Q_R	1	0.3101	ng/L
Dimethachlor	50563-36-5	SCCDDNKJYDZXMM-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	chloroacetanilide	Lipid metabolism	VLCFA synthesis inhibition	n/a	Water	Q_T	0.7	198.1814	ng/L
Ethofumesate	26225-79-6	IRCMYGHHKLLGHV-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	benzofurane	Lipid metabolism	VLCFA synthesis inhibition	n/a	Water	Q_R	1	2.1116	ng/L
N-Butylbenzenesulfonamide	3622-84-2	IPRJXAGUEGOFGG-UHFFFAOYSA-N	LC-HRMS	polymer additive	plasticizer	sulfonamide	Endocrine	Androgen receptor antagonist	Androgen receptor	Water	Q_M	50	13.5853	ng/L
N-Butylbenzenesulfonamide	3622-84-2	IPRJXAGUEGOFGG-UHFFFAOYSA-N	LC-HRMS	polymer additive	plasticizer	sulfonamide	Endocrine	Androgen receptor antagonist	Androgen receptor	Water	Q_R	50	75.4097	ng/L
Cypermethrin	52315-07-8	KAATUXNTWXVJKI-UHFFFAOYSA-N	GC-HRMS	pesticide	insecticide	pyrethoid	Neuroactive	Sodium channel modulator	Sodium channels	Water	Q_O	107.1	9.08	ng/L
Ketoprofen	22071-15-4	DKYWVDODHFEZIM-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	NSAID	NSAID	Antiinflammatory	Cyclooxygenase inhibition	Cyclooxygenase 1 and 2 (COX-1 and COX-2)	Water	Q_M	1	0.6439	ng/L
Ketoprofen	22071-15-4	DKYWVDODHFEZIM-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	NSAID	NSAID	Antiinflammatory	Cyclooxygenase inhibition	Cyclooxygenase 1 and 2 (COX-1 and COX-2)	Water	Q_R	1	1.2912	ng/L
Ketoprofen	22071-15-4	DKYWVDODHFEZIM-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	NSAID	NSAID	Antiinflammatory	Cyclooxygenase inhibition	Cyclooxygenase 1 and 2 (COX-1 and COX-2)	Water	Q_T	1	0.5584	ng/L
Sulfamethoxazole	723-46-6	JLKIGFTWXXRPMT-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antibiotic	sulfonamide	Antibiotic	Folic acid biosynthesis inhibition	Dihydropteroate synthase	Water	Q_R	2	2.4308	ng/L
Sulfamethoxazole	723-46-6	JLKIGFTWXXRPMT-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antibiotic	sulfonamide	Antibiotic	Folic acid biosynthesis inhibition	Dihydropteroate synthase	Water	Q_T	2	1.1566	ng/L
Perfluorooctanoic acid	335-67-1	SNGREZUHAYWORS-UHFFFAOYSA-N	LC-HRMS	PFAS	Perfluoroalkyl acids	Perfluoroalkyl carboxylic acids	Lipid metabolism, Endocrine	PPAR activation	Peroxisome proliferator-activated receptor (PPAR) alpha, Estrogen receptor	Water	Q_O	0.5	1.0263	ng/L
Tonalide	21145-77-7	DNRJTBAOUJJKDY-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_M	2	8.038	ng/L
Tonalide	21145-77-7	DNRJTBAOUJJKDY-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_R	2	9.891	ng/L
Tonalide	21145-77-7	DNRJTBAOUJJKDY-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_T	2	7.558	ng/L
Cashmeran	33704-61-9	MIZGSAALSYARKU-UHFFFAOYSA-N	LC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_M	0.5	2.2056	ng/L
Cashmeran	33704-61-9	MIZGSAALSYARKU-UHFFFAOYSA-N	LC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_O	0.5	4.797	ng/L
Cashmeran	33704-61-9	MIZGSAALSYARKU-UHFFFAOYSA-N	LC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_R	0.5	3.6425	ng/L
Cashmeran	33704-61-9	MIZGSAALSYARKU-UHFFFAOYSA-N	LC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_T	0.5	2.4941	ng/L
Carbendazim	10605-21-7	TWFZGCMQGLPBSX-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	benzimidazole	Mitosis/Cell cycle	Beta-tubulin assembly inhibition	Beta-tubulin	Water	Q_M	1	1.1763	ng/L
Carbendazim	10605-21-7	TWFZGCMQGLPBSX-UHFFFAOYSA-N	LC-HRMS	pesticide	fungicide	benzimidazole	Mitosis/Cell cycle	Beta-tubulin assembly inhibition	Beta-tubulin	Water	Q_R	1	2.953	ng/L
Terbuthylazine	5915-41-3	FZXISNSWEXTPMF-UHFFFAOYSA-N	LC-HRMS	pesticide	herbicide	triazine	Photosynthesis inhibition	Photosystem II inhibition	Photosystem II	Water	Q_M	1	0.1263	ng/L
Carbamazepine	298-46-4	FFGPTBGBLSHEPO-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antiepileptic	carboxamide	Neuroactive	Sodium channel inhibition	Voltage-gated sodium channel alpha subunit	Water	Q_R	1	2.2623	ng/L
Saccharin	81-07-2	CVHZOJJKTDOEJC-UHFFFAOYSA-N	LC-HRMS	food and beverage	sweetener	sweetener	Olfactory/Gustatory system, Metabolic system	Sweet taste receptor agonist, Carbonic anhydrase inhibition	Sweet taste receptor (T1R2 and T1R3), Carbonic anhydrase	Water	Q_O	10	7.2138	ng/L
Saccharin	81-07-2	CVHZOJJKTDOEJC-UHFFFAOYSA-N	LC-HRMS	food and beverage	sweetener	sweetener	Olfactory/Gustatory system, Metabolic system	Sweet taste receptor agonist, Carbonic anhydrase inhibition	Sweet taste receptor (T1R2 and T1R3), Carbonic anhydrase	Water	Q_R	10	10.8767	ng/L
DEET	134-62-3	MMOXZBCLCQITDF-UHFFFAOYSA-N	LC-HRMS	pesticide	insect repellent	insect repellent	Olfactory/Gustatory system	n/a	Anopheles gambiae odorant binding protein 1 (AgamOBP1)	Water	Q_R	0.7	0.0052	ng/L
Galaxolide	1222-05-5	ONKNPOPIGWHAQC-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_M	0.5	11.107	ng/L
Galaxolide	1222-05-5	ONKNPOPIGWHAQC-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_R	0.5	11.072	ng/L
Galaxolide	1222-05-5	ONKNPOPIGWHAQC-UHFFFAOYSA-N	GC-HRMS	personal care and household	fragrance	musk fragrance	unknown	n/a	n/a	Water	Q_T	0.5	11.125	ng/L
Pentachlorobenzene	608-93-5	CEOCDNVZRAIOQZ-UHFFFAOYSA-N	GC-HRMS	POP	fungicide	chlorobenzene	unknown	n/a	n/a	Water	Q_M	1.9	0.143	ng/L
Pentachlorobenzene	608-93-5	CEOCDNVZRAIOQZ-UHFFFAOYSA-N	GC-HRMS	POP	fungicide	chlorobenzene	unknown	n/a	n/a	Water	Q_T	1.9	0.981	ng/L
Hexachlorobenzene	118-74-1	CKAPSXZOOQJIBF-UHFFFAOYSA-N	GC-HRMS	POP	POP	chlorobenzene	unknown	n/a	n/a	Water	Q_M	5.9	3.659	ng/L
Hexachlorobenzene	118-74-1	CKAPSXZOOQJIBF-UHFFFAOYSA-N	GC-HRMS	POP	POP	chlorobenzene	unknown	n/a	n/a	Water	Q_O	5.9	0.388	ng/L
Hexachlorobenzene	118-74-1	CKAPSXZOOQJIBF-UHFFFAOYSA-N	GC-HRMS	POP	POP	chlorobenzene	unknown	n/a	n/a	Water	Q_R	5.9	1.249	ng/L
Hexachlorobenzene	118-74-1	CKAPSXZOOQJIBF-UHFFFAOYSA-N	GC-HRMS	POP	POP	chlorobenzene	unknown	n/a	n/a	Water	Q_T	5.9	0.498	ng/L
Benzo(k)fluoranthene	207-08-9	HAXBIWFMXWRORI-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	5-ring PAH	Nucleic acid damage	AhR agonist	Aryl hydrocarbon receptor (AhR)	Water	Q_M	250	2.529	ng/L
Benzo(k)fluoranthene	207-08-9	HAXBIWFMXWRORI-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	5-ring PAH	Nucleic acid damage	AhR agonist	Aryl hydrocarbon receptor (AhR)	Water	Q_O	250	1.805	ng/L
Benzo(k)fluoranthene	207-08-9	HAXBIWFMXWRORI-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	5-ring PAH	Nucleic acid damage	AhR agonist	Aryl hydrocarbon receptor (AhR)	Water	Q_R	250	2.075	ng/L
Benzo(k)fluoranthene	207-08-9	HAXBIWFMXWRORI-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	5-ring PAH	Nucleic acid damage	AhR agonist	Aryl hydrocarbon receptor (AhR)	Water	Q_T	250	2.16	ng/L
Acenaphthene	83-32-9	CWRYPZZKDGJXCA-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	3-ring PAH	unknown	n/a	n/a	Water	Q_M	33	12.996	ng/L
Acenaphthene	83-32-9	CWRYPZZKDGJXCA-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	3-ring PAH	unknown	n/a	n/a	Water	Q_O	33	21.998	ng/L
Acenaphthene	83-32-9	CWRYPZZKDGJXCA-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	3-ring PAH	unknown	n/a	n/a	Water	Q_R	33	5.387	ng/L
Acenaphthene	83-32-9	CWRYPZZKDGJXCA-UHFFFAOYSA-N	GC-HRMS	PAH	Parent PAH	3-ring PAH	unknown	n/a	n/a	Water	Q_T	33	19.827	ng/L
Cholic acid	81-25-4	BHQCQFFYRZLCQQ-OELDTZBJSA-N	LC-HRMS	natural compound	human metabolite	bile acid	Sterol biosynthesis inhibition	Cholesterol-7-α-hydroxylase downregulation	Cholesterol-7-alpha-hydroxylase	Water	Q_M	0.5	6.4734	ng/L
Cholic acid	81-25-4	BHQCQFFYRZLCQQ-OELDTZBJSA-N	LC-HRMS	natural compound	human metabolite	bile acid	Sterol biosynthesis inhibition	Cholesterol-7-α-hydroxylase downregulation	Cholesterol-7-alpha-hydroxylase	Water	Q_O	0.5	5.3166	ng/L
Cholic acid	81-25-4	BHQCQFFYRZLCQQ-OELDTZBJSA-N	LC-HRMS	natural compound	human metabolite	bile acid	Sterol biosynthesis inhibition	Cholesterol-7-α-hydroxylase downregulation	Cholesterol-7-alpha-hydroxylase	Water	Q_R	0.5	1.3345	ng/L
Cholic acid	81-25-4	BHQCQFFYRZLCQQ-OELDTZBJSA-N	LC-HRMS	natural compound	human metabolite	bile acid	Sterol biosynthesis inhibition	Cholesterol-7-α-hydroxylase downregulation	Cholesterol-7-alpha-hydroxylase	Water	Q_T	0.5	3.4389	ng/L
Perfluorohexanoic acid	307-24-4	PXUULQAPEKKVAH-UHFFFAOYSA-N	LC-HRMS	PFAS	Perfluoroalkyl acids	Perfluoroalkyl carboxylic acids	unknown	n/a	n/a	Water	Q_M	2	471.6664	ng/L
Perfluorohexanoic acid	307-24-4	PXUULQAPEKKVAH-UHFFFAOYSA-N	LC-HRMS	PFAS	Perfluoroalkyl acids	Perfluoroalkyl carboxylic acids	unknown	n/a	n/a	Water	Q_T	2	0.2371	ng/L
Primidone	125-33-7	DQMZLTXERSFNPB-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antiepileptic	barbiturate derivative	Neuroactive	GABA(A) receptor potentiator	GABA(A) receptor	Water	Q_R	10	18.3167	ng/L
Benzethonium	10172-60-8	SIYLLGKDQZGJHK-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_M	2	1.7437	ng/L
Benzethonium	10172-60-8	SIYLLGKDQZGJHK-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_R	2	2.2647	ng/L
Benzethonium	10172-60-8	SIYLLGKDQZGJHK-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_T	2	2.1976	ng/L
Benzophenone-4	4065-45-6	CXVGEDCSTKKODG-UHFFFAOYSA-N	LC-HRMS	personal care and household	UV filter	benzophenone	Cell and DNA protection, Endocrine	Estrogen receptor antagonist	Estrogen receptor	Water	Q_M	1	0.7352	ng/L
Benzophenone-4	4065-45-6	CXVGEDCSTKKODG-UHFFFAOYSA-N	LC-HRMS	personal care and household	UV filter	benzophenone	Cell and DNA protection, Endocrine	Estrogen receptor antagonist	Estrogen receptor	Water	Q_O	1	1.9148	ng/L
Benzophenone-4	4065-45-6	CXVGEDCSTKKODG-UHFFFAOYSA-N	LC-HRMS	personal care and household	UV filter	benzophenone	Cell and DNA protection, Endocrine	Estrogen receptor antagonist	Estrogen receptor	Water	Q_R	1	1.7736	ng/L
Benzophenone-4	4065-45-6	CXVGEDCSTKKODG-UHFFFAOYSA-N	LC-HRMS	personal care and household	UV filter	benzophenone	Cell and DNA protection, Endocrine	Estrogen receptor antagonist	Estrogen receptor	Water	Q_T	1	0.7631	ng/L
Benzyldimethyldodecylammonium	10328-35-5	CYDRXTMLKJDRQH-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_M	20	56.8943	ng/L
Benzyldimethyldodecylammonium	10328-35-5	CYDRXTMLKJDRQH-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_O	20	29.1927	ng/L
Benzyldimethyldodecylammonium	10328-35-5	CYDRXTMLKJDRQH-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_R	20	2162.5674	ng/L
Benzyldimethyldodecylammonium	10328-35-5	CYDRXTMLKJDRQH-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_T	20	9.0632	ng/L
Hexadecyltrimethylammonium	6899-10-1	RLGQACBPNDBWTB-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_M	1	3.087	ng/L
Hexadecyltrimethylammonium	6899-10-1	RLGQACBPNDBWTB-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_O	1	2.0455	ng/L
Hexadecyltrimethylammonium	6899-10-1	RLGQACBPNDBWTB-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_R	1	4.6894	ng/L
Hexadecyltrimethylammonium	6899-10-1	RLGQACBPNDBWTB-UHFFFAOYSA-N	LC-HRMS	biocide	antimicrobial	QAC	unknown	n/a	n/a	Water	Q_T	1	2.1982	ng/L
Lauryl diethanolamide	120-40-1	AOMUHOFOVNGZAN-UHFFFAOYSA-N	LC-HRMS	personal care and household	surfactant	nonionic surfactant	unknown	n/a	n/a	Water	Q_M	5	135.8747	ng/L
Lauryl diethanolamide	120-40-1	AOMUHOFOVNGZAN-UHFFFAOYSA-N	LC-HRMS	personal care and household	surfactant	nonionic surfactant	unknown	n/a	n/a	Water	Q_O	5	25.0312	ng/L
Tri(butoxyethyl)phosphate	78-51-3	WTLBZVNBAKMVDP-UHFFFAOYSA-N	LC-HRMS	polymer additive	plasticizer	organophosphate	unknown	Pregnane X receptor agonist	Pregnane X receptor	Water	Q_O	1	4759.0133	ng/L
Tri(butoxyethyl)phosphate	78-51-3	WTLBZVNBAKMVDP-UHFFFAOYSA-N	LC-HRMS	polymer additive	plasticizer	organophosphate	unknown	Pregnane X receptor agonist	Pregnane X receptor	Water	Q_T	1	6483.2578	ng/L
Lauric isopropanolamide	142-54-1	MMBILEWCGWTAOV-UHFFFAOYSA-N	LC-HRMS	personal care and household	surfactant	nonionic surfactant	unknown	n/a	n/a	Water	Q_M	1	1.1568	ng/L
Lauric isopropanolamide	142-54-1	MMBILEWCGWTAOV-UHFFFAOYSA-N	LC-HRMS	personal care and household	surfactant	nonionic surfactant	unknown	n/a	n/a	Water	Q_O	1	2.2605	ng/L
Lauric isopropanolamide	142-54-1	MMBILEWCGWTAOV-UHFFFAOYSA-N	LC-HRMS	personal care and household	surfactant	nonionic surfactant	unknown	n/a	n/a	Water	Q_R	1	1.2584	ng/L
Lauric isopropanolamide	142-54-1	MMBILEWCGWTAOV-UHFFFAOYSA-N	LC-HRMS	personal care and household	surfactant	nonionic surfactant	unknown	n/a	n/a	Water	Q_T	1	857.6112	ng/L
Hexa(methoxymethyl)melamine	3089-11-0	BNCADMBVWNPPIZ-UHFFFAOYSA-N	LC-HRMS	polymer additive	monomer	melamine	unknown	n/a	n/a	Water	Q_M	1	8.3174	ng/L
Hexa(methoxymethyl)melamine	3089-11-0	BNCADMBVWNPPIZ-UHFFFAOYSA-N	LC-HRMS	polymer additive	monomer	melamine	unknown	n/a	n/a	Water	Q_O	1	0.0073	ng/L
Pindolol	13523-86-9	JZQKKSLKJUAGIC-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist, Beta adrenergic receptor partial agonist	Beta-1 and beta-2 adrenergic receptor	Water	Q_M	20	1.4561	ng/L
Pindolol	13523-86-9	JZQKKSLKJUAGIC-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist, Beta adrenergic receptor partial agonist	Beta-1 and beta-2 adrenergic receptor	Water	Q_O	20	1.3349	ng/L
Pindolol	13523-86-9	JZQKKSLKJUAGIC-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist, Beta adrenergic receptor partial agonist	Beta-1 and beta-2 adrenergic receptor	Water	Q_R	20	1.091	ng/L
Pindolol	13523-86-9	JZQKKSLKJUAGIC-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	antihypertensive	beta blocker	Cardiovascular system	Beta adrenergic receptor antagonist, Beta adrenergic receptor partial agonist	Beta-1 and beta-2 adrenergic receptor	Water	Q_T	20	1.1868	ng/L
o-Dianisidine	119-90-4	JRBJSXQPQWSCCF-UHFFFAOYSA-N	LC-HRMS	intermediate	dye intermediate	aromatic amine	unknown	n/a	n/a	Water	Q_M	0.5	25.0356	ng/L
o-Dianisidine	119-90-4	JRBJSXQPQWSCCF-UHFFFAOYSA-N	LC-HRMS	intermediate	dye intermediate	aromatic amine	unknown	n/a	n/a	Water	Q_O	0.5	27.9059	ng/L
o-Dianisidine	119-90-4	JRBJSXQPQWSCCF-UHFFFAOYSA-N	LC-HRMS	intermediate	dye intermediate	aromatic amine	unknown	n/a	n/a	Water	Q_R	0.5	9.8124	ng/L
o-Dianisidine	119-90-4	JRBJSXQPQWSCCF-UHFFFAOYSA-N	LC-HRMS	intermediate	dye intermediate	aromatic amine	unknown	n/a	n/a	Water	Q_T	0.5	14.9232	ng/L
2-(Methylthio)benzothiazole	615-22-5	UTBVIMLZIRIFFR-UHFFFAOYSA-N	LC-HRMS	polymer additive	rubber additive	vulcanisation accelerator	unknown	n/a	n/a	Water	Q_R	10	11.6296	ng/L
Lidocaine	137-58-6	NNJVILVZKWQKPM-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	anesthetics	amide	Neuroactive	Sodium channel modulator	Sodium channels	Water	Q_R	5	2.6459	ng/L
Mycophenolic acid	24280-93-1	HPNSFSBZBAHARI-RUDMXATFSA-N	LC-HRMS	pharmaceutical	antineoplastic	immunosuppressant	Nucleic acid biosynthesis inhibition	IMPDH inhibition	Inosine monophosphate dehydrogenase (IMPDH) 1 and 2	Water	Q_O	1	0.0224	ng/L
Mycophenolic acid	24280-93-1	HPNSFSBZBAHARI-RUDMXATFSA-N	LC-HRMS	pharmaceutical	antineoplastic	immunosuppressant	Nucleic acid biosynthesis inhibition	IMPDH inhibition	Inosine monophosphate dehydrogenase (IMPDH) 1 and 2	Water	Q_R	1	0.0381	ng/L
Mycophenolic acid	24280-93-1	HPNSFSBZBAHARI-RUDMXATFSA-N	LC-HRMS	pharmaceutical	antineoplastic	immunosuppressant	Nucleic acid biosynthesis inhibition	IMPDH inhibition	Inosine monophosphate dehydrogenase (IMPDH) 1 and 2	Water	Q_T	1	0.0342	ng/L
Dimethylaminophenazone	58-15-1	RMMXTBMQSGEXHJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	Antiinflammatory	n/a	n/a	Water	Q_M	1	0.1697	ng/L
Dimethylaminophenazone	58-15-1	RMMXTBMQSGEXHJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	Antiinflammatory	n/a	n/a	Water	Q_O	1	0.1603	ng/L
Dimethylaminophenazone	58-15-1	RMMXTBMQSGEXHJ-UHFFFAOYSA-N	LC-HRMS	pharmaceutical	analgesic	pyrazolone analgesic	Antiinflammatory	n/a	n/a	Water	Q_R	1	0.242	ng/L
